時間,設備,值
2024-10-26 09:46:55,SA-45/TEMPERATURE,25.64
2024-10-26 09:46:57,SA-45/TEMPERATURE,25.17
2024-10-26 09:47:16,SA-45/TEMPERATURE,25.64
2024-10-26 09:47:22,SA-45/TEMPERATURE,26.11
2024-10-26 09:47:24,SA-45/TEMPERATURE,25.64
2024-10-26 09:47:40,SA-45/TEMPERATURE,25.17
2024-10-26 09:47:56,SA-45/TEMPERATURE,25.64
2024-10-26 09:48:00,SA-45/LINE_LEVEL,0
2024-10-26 09:48:02,SA-45/LINE_LEVEL,1
2024-10-26 09:48:06,SA-45/TEMPERATURE,26.11
2024-10-26 09:48:07,SA-45/LED_LEVEL,4
2024-10-26 09:48:07,SA-45/LED_LEVEL,3
2024-10-26 09:48:08,SA-45/TEMPERATURE,25.64
2024-10-26 09:48:08,SA-45/LED_LEVEL,4
2024-10-26 09:48:08,SA-45/LED_LEVEL,5
2024-10-26 09:48:09,SA-45/LED_LEVEL,6
2024-10-26 09:48:10,SA-45/LED_LEVEL,4
2024-10-26 09:48:11,SA-45/LED_LEVEL,3
2024-10-26 09:48:11,SA-45/LED_LEVEL,4
2024-10-26 09:48:12,SA-45/TEMPERATURE,25.17
2024-10-26 09:48:12,SA-45/LED_LEVEL,5
2024-10-26 09:48:12,SA-45/LED_LEVEL,6
2024-10-26 09:48:14,SA-45/TEMPERATURE,25.64
2024-10-26 09:48:16,SA-45/TEMPERATURE,25.17
2024-10-26 09:48:18,SA-45/TEMPERATURE,25.64
2024-10-26 09:48:24,SA-45/TEMPERATURE,26.11
2024-10-26 09:49:02,SA-45/TEMPERATURE,25.64
2024-10-26 09:49:04,SA-45/TEMPERATURE,26.11
2024-10-26 09:49:18,SA-45/TEMPERATURE,25.64
2024-10-26 09:49:20,SA-45/TEMPERATURE,26.11
2024-10-26 09:49:34,SA-45/TEMPERATURE,25.64
2024-10-26 09:49:36,SA-45/TEMPERATURE,26.11
2024-10-26 09:49:44,SA-45/TEMPERATURE,25.64
2024-10-26 09:49:46,SA-45/TEMPERATURE,26.11
2024-10-26 09:49:54,SA-45/TEMPERATURE,25.64
2024-10-26 09:49:56,SA-45/TEMPERATURE,26.11
2024-10-26 09:50:04,SA-45/TEMPERATURE,25.64
2024-10-26 09:50:06,SA-45/TEMPERATURE,26.11
2024-10-26 09:50:08,SA-45/TEMPERATURE,25.64
2024-10-26 09:50:10,SA-45/TEMPERATURE,26.11
2024-10-26 09:50:14,SA-45/TEMPERATURE,25.64
2024-10-26 09:50:18,SA-45/TEMPERATURE,26.11
2024-10-26 09:50:26,SA-45/TEMPERATURE,25.64
2024-10-26 09:50:32,SA-45/TEMPERATURE,25.17
2024-10-26 09:50:34,SA-45/TEMPERATURE,26.11
2024-10-26 09:50:36,SA-45/TEMPERATURE,25.17
2024-10-26 09:50:38,SA-45/TEMPERATURE,26.11
2024-10-26 09:50:42,SA-45/TEMPERATURE,25.64
2024-10-26 09:50:44,SA-45/TEMPERATURE,26.11
2024-10-26 09:50:46,SA-45/TEMPERATURE,25.64
2024-10-26 09:50:50,SA-45/TEMPERATURE,26.11
2024-10-26 09:50:52,SA-45/TEMPERATURE,25.64
2024-10-26 09:50:56,SA-45/TEMPERATURE,26.11
2024-10-26 09:50:58,SA-45/TEMPERATURE,25.17
2024-10-26 09:51:00,SA-45/TEMPERATURE,25.64
2024-10-26 09:51:04,SA-45/TEMPERATURE,26.11
2024-10-26 09:51:06,SA-45/TEMPERATURE,25.64
2024-10-26 09:51:08,SA-45/TEMPERATURE,26.58
2024-10-26 09:51:10,SA-45/TEMPERATURE,27.51
2024-10-26 09:51:12,SA-45/TEMPERATURE,26.11
2024-10-26 09:51:16,SA-45/TEMPERATURE,26.58
2024-10-26 09:51:18,SA-45/TEMPERATURE,26.11
2024-10-26 09:51:22,SA-45/TEMPERATURE,26.58
2024-10-26 09:51:24,SA-45/TEMPERATURE,25.64
2024-10-26 09:51:28,SA-45/TEMPERATURE,26.11
2024-10-26 09:51:30,SA-45/TEMPERATURE,26.58
2024-10-26 09:51:32,SA-45/TEMPERATURE,26.11
2024-10-26 09:51:34,SA-45/TEMPERATURE,25.64
2024-10-26 09:51:38,SA-45/TEMPERATURE,26.11
2024-10-26 09:51:44,SA-45/TEMPERATURE,25.64
2024-10-26 09:51:46,SA-45/TEMPERATURE,26.11
2024-10-26 09:51:48,SA-45/TEMPERATURE,25.64
2024-10-26 09:51:50,SA-45/TEMPERATURE,26.11
2024-10-26 09:52:04,SA-45/TEMPERATURE,25.64
2024-10-26 09:52:06,SA-45/TEMPERATURE,26.11
2024-10-26 09:52:08,SA-45/TEMPERATURE,25.64
2024-10-26 09:52:12,SA-45/TEMPERATURE,26.11
2024-10-26 09:52:14,SA-45/TEMPERATURE,25.64
2024-10-26 09:52:16,SA-45/TEMPERATURE,26.58
2024-10-26 09:52:18,SA-45/TEMPERATURE,26.11
2024-10-26 09:52:22,SA-45/TEMPERATURE,25.64
2024-10-26 09:52:26,SA-45/TEMPERATURE,26.11
2024-10-26 09:52:36,SA-45/TEMPERATURE,25.64
2024-10-26 09:52:38,SA-45/TEMPERATURE,26.11
2024-10-26 09:52:40,SA-45/TEMPERATURE,25.64
2024-10-26 09:52:42,SA-45/TEMPERATURE,26.11
2024-10-26 09:52:46,SA-45/TEMPERATURE,25.17
2024-10-26 09:52:48,SA-45/TEMPERATURE,25.64
2024-10-26 09:52:52,SA-45/TEMPERATURE,26.11
2024-10-26 09:52:58,SA-45/TEMPERATURE,25.17
2024-10-26 09:53:00,SA-45/TEMPERATURE,25.64
2024-10-26 09:53:04,SA-45/TEMPERATURE,26.11
2024-10-26 09:53:08,SA-45/TEMPERATURE,25.64
2024-10-26 09:53:10,SA-45/TEMPERATURE,26.11
2024-10-26 09:53:12,SA-45/TEMPERATURE,25.64
2024-10-26 09:53:14,SA-45/TEMPERATURE,26.11
2024-10-26 09:53:28,SA-45/TEMPERATURE,25.64
2024-10-26 09:53:32,SA-45/TEMPERATURE,26.11
